Pikantna sałatka z parówkami,8
Sałatka orientalna z indyka,8
Sałatka z indyka. sałaty winogron i sera,8
Sałatka z kury. melona. ananasa i selera po amerykańsku,8
Sałatka z kury po armeńsku,8
Sałatka z kury. marchwi i ogórków po grecku,8
Sałatka z tuńczyka. papryki i ogórków,8
Sałatka nicejska I. II,8
Sałatka rosyjska z ryba,8
Sałatka z krewetek. groszku i cykorii,8
Sałatka z 'owoców morza' cukinii i marchwi,8
Sałatka śledziowa z burakami,8
Sałatka śledziowa z ziemniakami,8
Sałatka z makaronu i jarzyn,8
Sałatka z makaronu. marchwi. groszku i szynki po duńsku,8
Sałatka z makaronu z marynowanymi warzywami po włosku,8
Sałatka z makaronu i indyka po polinezyjsku,8
Sałatka makaronowa,8
Sałatka z ziemniaków po bawarsku,8
Sałatka z brązowego ryżu,8
Sałatka z ryżu i jaj,8
Sałatka z ryżu i tuńczyka,8
Sałatka z kurczakiem,8
Sałatka z kurczakiem- gyros,8
Sałatka z wędzonym kurczakiem,8
Sałatka z kurczakiem orientalna,8
Masło chrzanowe,9
Masło orzechowe,9
Masło pietruszkowe,9
Masło rzeżuchowe,9
Masło zielone,9
Masło ziołowe,9
Masło różowe,9
Masło żółte,9
Masło musztardowe,9
Masło sardelowe,9
Masło śledziowe,9
Pasta z jaj,10
Pasta z kiełbasy i jaj,10
Pasta z szynki i jaja,10
Pasta z kiełbasy i sardeli,10
Pasta z cheddara,10
Pasta z sera ementalskiego i włoskich orzechów,10
Pasta z twarogu z pomidorami,10
Pasta z twarogu i konserwy rybnej,10
Pasta z twarogu i wędzonej ryby,10
Pasta śledziowa,10
Pasta pieczarkowa,10
Pasty mięsne,10
Pasta z wątróbek,10
Winegret podstawowy,11
Winegret z musztardą,11
Winegret z serem pleśniowym,11
Winegret z serem rokpol'em,11
Winegret z winem,11
Winegret z jajem,11
Winegret z sokiem z cytryn i żółtkiem,11
Sos ravigote,11
Sos rosyjski,11
Sos sałatkowy,11
Sos śródziemnomorski,11
Sos "tysiąc wysp",11
Sos z wina,11
Sos włoski,11
Sos majonezowy podstawowy,11
Sos majonezowy aurora,11
Sos ostry,11
Sos majonezowy pikantny,11
Sos majonezowy zielony,11
Sos remoulade,11
Sos majonezowy z ardelami,11
Sos tatarski,11
Sos majonezowy ziołowy,11
Majonez z masła do garnirowania przekąsek,11
Sos z jaj ugotowanych na twardo,11
Sos chrzanowy ze śmietaną,11
Sos chrzanowy nie gotowany,11
Chrzan ze śmietaną. majonezem lub żółtkiem,11
Sos czosnkowy,11
Sos z jogurtu z olejem,11
Sos musztardowy ze śmietaną,11
Sos musztardowo-czosnkowy,11
Sos zielony,11
Sos pomidorowy,11
Sos chili,11
Sos cumberland,11
Sos owocowy,11
Sos prowansalski,11
Sos awokado,11
Sos grecki,11
Rosół tradycyjny,12
Bulion jarski,12
Bulion mięsny,12
Flaki cielęce,12
Flaki wołowe,12
Zupa neapolitańska,12
Żurek z biała kiełbasa,12
Żur wiejski,12
Żur staropolski,12
Żur świąteczny,12
Żur postny,12
Barszcz biały,12
Chrzanówka,12
Barszcz z maślanki,12
Barszcz buraczany jarski- wigilijny,12
Barszcz z krokietem,12
Barszcz buraczany wiejski,12
Barszcz buraczany zabielany,12
Kwaśnica,12
Kapuśniak z kwaszonej kapusty,12
Kapuśniak z białej kapusty,12
Kapuśniak staropolski,12
Krupnik zabielany,12
Pomidorowa klarowna,12
Pomidorowa zabielana,12
Ogórkowa zabielana,12
Kalafiorowa,12
Z fasolki szparagowej,12
Z brukselki,12
Ziemniaczana,12
Z porów,12
Koperkowa,12
Jarzynowa zabielana,12
Jarzynowa jesienna zasmażana,12
Zupa grochowa,12
Grochówka,12
Zupa rumfordzka,12
Zupa fasolowa,12
Grzybowa klarowna,12
Grzybowa zabielana,12
Grzybowa zasmażana,12
Pieczarkowa,12
Krem z pieczarek,12
Rybna zabielana,12
Zupa rybacka,12
Zupa z ryb morskich,12
Zupa piwna z żółtkami,12
Gramatka,12
Zupy owocowe,12
Chłodnik z kwaśnego mleka,12
Chłodnik ze świeżych ogórków,12
Chłodnik rybny,12
Chłodnik wieloowocowy,12
Chłodnik z czarnych jagód,12
Chłodnik truskawkowy,12
Chłodnik buraczany,12
Zupy. kremy,12
Ziemniaki młode,13
Ziemniaki pire,13
Ziemniaki tłuczone,13
Ziemniaki pieczone,13
Frytki,13
Dufinki,13
Kluski śląskie,13
Placki ziemniaczane,13
Ryż,13
Ryż kolorowy,13
Kasza,13
Makaron,13
Makarony kolorowe,13
Kopytka,13
Pyzy,13
Kluski kładzione,13
Lane ciasto,13
Zacierki,13
Grzanki,13
Groszek ptysiowy,13
Surówka z cykorii i jabłek,14
Surówka z kalafiora,14
Surówka z białej kapusty,14
Surówka z białej lub włoskiej kapusty,14
Sałatka z białej kapusty po amerykańsku,14
Surówka z kapusty. marchwi i jabłek,14
Surówka z czerwonej kapusty,14
Surówka z kapusty pekińskiej,14
Surówka z włoskiej kapusty,14
Surówka z kwaszonej kapusty,14
Surówka z marchwi. jabłek z chrzanem,14
Surówka z marchwi,14
Mizeria,14
Surówka z ogórków,14
Surówka z ogórków. pomidorów i sera owczego po grecku,14
Surówka z kwaszonych ogórków,14
Surówka z papryki i pomidorów,14
Surówka z pomidorów I. II,14
Surówka z pomidorów i świeżego groszku,14
Surówka z porów. jabłka i kwaszonego ogórka,14
Surówka z czarnej rzodkwi,14
Surówka z rzodkiewek,14
Surówka z selera,14
Surówka z selera. jabłek i orzechów,14
Surówka z warzyw po amerykańsku,14
Surówka z warzyw po grecku,14
Surówka z warzyw po włosku,14
Sałata zielona z winegret i jego odmianami,14
Sałata zielona ze śmietaną i jajkami,14
Sałata z pieczarkami,14
Sałata smakosza,14
Sałata krucha amerykańska z kalafiorem. pomidorami i rokpolem,14
Sałata rzymska bekonem i pomidorami,14
Sałata rzymska z marchwią i cukinia,14
Bakłażany po grecku,14
Buraki z winegret,14
Ćwikła z chrzanem,14
Fasola szparagowa na słodko-kwaśno,14
Pory po grecku,14
Szparagi z winegret,14
Buraki ze śmietaną,15
Buraki zasmażane,15
Buraki z chrzanem i śmietaną,15
Buraki z jabłkami zasmażane,15
Cebula duszona,15
Cebula duszona w śmietanie z pomidorami,15
Dynia po grecku,15
Dynia po węgiersku,15
Fasolka szparagowa z wody,15
Groszek zielony,15
Kabaczki w sosie śmietanowym,15
Kalafior z wody,15
Kapusta biała zasmażana,15
Kapusta biała z jabłkami,15
Kapusta biała z pomidorami,15
Kapusta kiszona po litewsku,15
Kapusta kwaszona zasmażana,15
Kapusta kwaszona z grzybami,15
Brukselka z wody,15
Kapusta włoska z wody,15
Gołąbki jarskie,15
Marchew oprószana,15
Marchew zasmażana,15
Marchew z groszkiem,15
Szpinak,15
Brokuły,15
Bukiet z warzyw,15
Chińszczyzna,15
Sos śmietanowy,16
Sos potrawkowy,16
Sos staropolski,16
Sos polski (szary),16
Sos koperkowy,16
Sos cytrynowy,16
Sos szczypiorkowy,16
Sos chrzanowy,16
Sos pieczarkowy,16
Sos pieczarkowy z winem,16
Sos grzybowy,16
Sos nelsoński,16
Sos cebulowy,16
Sos musztardowy,16
Sos myśliwski,16
Sos korniszonowy,16
Sos prowansalski,16
Sos pomidorowy,16
Sos węgierski,16
Sos z sera żółtego,16
Ryby gotowane słodkowodne,17
Ryby gotowane morskie,17
Ryby w sosach na gorąco,17
Ryby po polsku,17
Ryby z piwem lub winem,17
Ryby w sosie szarym,17
Ryby w sosie z selerami,17
Ryby smażone,17
Ryby po amatorsku,17
Ryby smażone z cebulą,17
Ryby z porami,17
Ryby z grzybami suszonymi,17
Ryby z pieczarkami,17
Ryby w warzywach,17
Ryby z jabłkami,17
Ryby z jabłkami i winem,17
Ryby z boczkiem i ogórkami,17
Ryby z śmietanie,17
Ryby smażone panierowane,17
Ryby pieczone słodkowodne,17
Ryby pieczone morskie,17
Pulpety rybne,17
Zrazy rybne w warzywach,17
Kotlety rybne mielone,17
Kurczak gotowany,18
Kurczak w rosole,18
Kurczak w potrawce,18
Kurczak w warzywach,18
Kurczak w śmietanie,18
Kurczak z pieczarkami,18
Kurczak pikantny,18
Kurczak na dziko,18
Kurczak na dziko z pieczarkami,18
Kurczak po myśliwsku,18
Kurczak z kminkiem,18
Kurczak ze śliwkami,18
Kurczak w sosie owocowym,18
Kurczak z winem w pomidorach,18
Kurczak z winem z pieczarkami,18
Udka z kurczaka nadziewana,18
Kurczak pieczony,18
Kurczak smażony,18
Kotlety z kurczaka panierowane,18
Filety z kurczaka nadziewane,18
Kurczak panierowany,18
Devolaille,18
Zraz nadziewany po kijowsku,18
Udka z kurczaka pieczone,18
Klopsiki z kurczaków,18
Kotlet pożarski,18
Zrazy z kurcząt nadziewane,18
Kurczak nadziewany,18
Gęś duszona w sosie naturalnym,18
Gęś pikantna,18
Gęś pieczona,18
Gęś pieczona z jabłkami,18
Kaczka gotowana do sosów,18
Kaczka duszona z papryka,18
Kaczka duszona z wiśniami,18
Kaczka pieczona,18
Kaczka pieczona z jabłkiem,18
Kaczka na dziko,18
Indyk pieczony,18
Cielęcina gotowana do sosów,19
Potrawa cielęca,19
Pulpety cielęce do sosów,19
Klopsiki cielce do sosów,19
Zrazy bite cielęce do sosów,19
Paprykarz cielęcy,19
Zrazy cielęce w sosie,19
Zrazy cielęce zawijane,19
Cielęciną duszona,19
Kotlety cielęce mielone,19
Sznycel ministerski,19
Stek cielęcy,19
Bryzol cielęcy,19
Kotlet cielęcy saute,19
Sznycel po wiedeńsku,19
Medalion cielęcy panierowany w grzankach,19
Mostek cielęcy nadziewany,19
